idna_subject,checker_type,destination,source,tested_at,session_id
zuanqia.com,AVAILABILITY,origin.list,origin.list,2026-09-21 20:49:11.691442+00:00,d412ce4ded57938a435be4de
vanmay.net,AVAILABILITY,origin.list,origin.list,2026-09-21 20:49:13.217575+00:00,d412ce4ded57938a435be4de
tw-shopee.store,AVAILABILITY,origin.list,origin.list,2026-09-21 20:49:17.823150+00:00,d412ce4ded57938a435be4de
vanmay1.net,AVAILABILITY,origin.list,origin.list,2026-09-21 20:49:19.368358+00:00,d412ce4ded57938a435be4de
uslimsofbr.cfd,AVAILABILITY,origin.list,origin.list,2026-09-21 20:49:24.322953+00:00,d412ce4ded57938a435be4de
vanmaymm24h.com,AVAILABILITY,origin.list,origin.list,2026-09-21 20:49:25.541081+00:00,d412ce4ded57938a435be4de
vatgia306.com,AVAILABILITY,origin.list,origin.list,2026-09-21 20:49:30.332904+00:00,d412ce4ded57938a435be4de
uudainganhangso.site,AVAILABILITY,origin.list,origin.list,2026-09-21 20:49:31.629555+00:00,d412ce4ded57938a435be4de
vay-shb8.com,AVAILABILITY,origin.list,origin.list,2026-09-21 20:49:36.401073+00:00,d412ce4ded57938a435be4de
vay.nhanh.24h.ubte6.com,AVAILABILITY,origin.list,origin.list,2026-09-21 20:49:37.992979+00:00,d412ce4ded57938a435be4de
vay-666.com,AVAILABILITY,origin.list,origin.list,2026-09-21 20:49:42.558028+00:00,d412ce4ded57938a435be4de
vay-abc8.com,AVAILABILITY,origin.list,origin.list,2026-09-21 20:49:44.161870+00:00,d412ce4ded57938a435be4de
vay-shb.com,AVAILABILITY,origin.list,origin.list,2026-09-21 20:49:48.573474+00:00,d412ce4ded57938a435be4de
vay-vib8.com,AVAILABILITY,origin.list,origin.list,2026-09-21 20:49:55.061676+00:00,d412ce4ded57938a435be4de
tindung-vietcombank.info,AVAILABILITY,origin.list,origin.list,2026-09-21 20:49:57.421792+00:00,d412ce4ded57938a435be4de
ullis-airbrush-shop.de,AVAILABILITY,origin.list,origin.list,2026-09-21 20:50:02.437273+00:00,d412ce4ded57938a435be4de
uudainapthe.vn,AVAILABILITY,origin.list,origin.list,2026-09-21 20:50:04.567264+00:00,d412ce4ded57938a435be4de
vay247nhanh.com,AVAILABILITY,origin.list,origin.list,2026-09-21 20:50:08.650287+00:00,d412ce4ded57938a435be4de
vay247-doctordong.com,AVAILABILITY,origin.list,origin.list,2026-09-21 20:50:10.683606+00:00,d412ce4ded57938a435be4de
uudaikhachhangthe-tructuyen-thang9.com.vn,AVAILABILITY,origin.list,origin.list,2026-09-21 20:50:16.128091+00:00,d412ce4ded57938a435be4de
uudai-tructuyen-chamsockhachhang-the.com.vn,AVAILABILITY,origin.list,origin.list,2026-09-21 20:50:18.225357+00:00,d412ce4ded57938a435be4de
vavietcombank.cc,AVAILABILITY,origin.list,origin.list,2026-09-21 20:50:22.301907+00:00,d412ce4ded57938a435be4de
tuanbansub.ml,AVAILABILITY,origin.list,origin.list,2026-09-21 20:50:25.380872+00:00,d412ce4ded57938a435be4de
vay24h-doctordong.com,AVAILABILITY,origin.list,origin.list,2026-09-21 20:50:28.398634+00:00,d412ce4ded57938a435be4de
vanthangcltxmomo.xyz,AVAILABILITY,origin.list,origin.list,2026-09-21 20:50:34.771562+00:00,d412ce4ded57938a435be4de
tongdaitruyenhinhcap.info,AVAILABILITY,origin.list,origin.list,2026-09-21 20:50:36.581871+00:00,d412ce4ded57938a435be4de
starbucksthai.shop,AVAILABILITY,origin.list,origin.list,2026-09-21 20:50:40.995108+00:00,d412ce4ded57938a435be4de
vay-tpbank.site,AVAILABILITY,origin.list,origin.list,2026-09-21 20:50:42.552170+00:00,d412ce4ded57938a435be4de
vay247-doctor-dong.com,AVAILABILITY,origin.list,origin.list,2026-09-21 20:50:47.067260+00:00,d412ce4ded57938a435be4de
vayde247.net,AVAILABILITY,origin.list,origin.list,2026-09-21 20:50:48.733867+00:00,d412ce4ded57938a435be4de
vayasieutoc.com,AVAILABILITY,origin.list,origin.list,2026-09-21 20:50:53.110632+00:00,d412ce4ded57938a435be4de
vaylien88.com,AVAILABILITY,origin.list,origin.list,2026-09-21 20:50:54.807277+00:00,d412ce4ded57938a435be4de
uudaikhachhang-tructuyen-the.com.vn,AVAILABILITY,origin.list,origin.list,2026-09-21 20:51:00.037270+00:00,d412ce4ded57938a435be4de
vaydaiphat.com,AVAILABILITY,origin.list,origin.list,2026-09-21 20:51:00.977596+00:00,d412ce4ded57938a435be4de
vanmay.win,AVAILABILITY,origin.list,origin.list,2026-09-21 20:51:06.653333+00:00,d412ce4ded57938a435be4de
vaynganhanglaisuatthap.com,AVAILABILITY,origin.list,origin.list,2026-09-21 20:51:07.123030+00:00,d412ce4ded57938a435be4de
vaylientay79.com,AVAILABILITY,origin.list,origin.list,2026-09-21 20:51:12.806144+00:00,d412ce4ded57938a435be4de
vay247.xyz,AVAILABILITY,origin.list,origin.list,2026-09-21 20:51:13.662901+00:00,d412ce4ded57938a435be4de
sieukhuyenmaii2023.shop,AVAILABILITY,origin.list,origin.list,2026-09-21 20:51:24.962723+00:00,d412ce4ded57938a435be4de
vaymbbank.com,AVAILABILITY,origin.list,origin.list,2026-09-21 20:51:31.114924+00:00,d412ce4ded57938a435be4de
vayhappy.com,AVAILABILITY,origin.list,origin.list,2026-09-21 20:51:37.288269+00:00,d412ce4ded57938a435be4de
uudaikhachhang-chamsocthetructuyen.com.vn,AVAILABILITY,origin.list,origin.list,2026-09-21 20:51:45.106976+00:00,d412ce4ded57938a435be4de
shoppe51.vip,AVAILABILITY,origin.list,origin.list,2026-09-21 20:51:45.233352+00:00,d412ce4ded57938a435be4de
vaycreditone.fun,AVAILABILITY,origin.list,origin.list,2026-09-21 20:51:51.180010+00:00,d412ce4ded57938a435be4de
vaynganhangshinhan.com,AVAILABILITY,origin.list,origin.list,2026-09-21 20:51:51.241588+00:00,d412ce4ded57938a435be4de
