idna_subject,checker_type,destination,tested_at
sunmomo.me,AVAILABILITY,origin.list,2023-03-06 06:44:58.660205
shopee.lienkettaikhoan.online,AVAILABILITY,origin.list,2023-03-06 06:45:05.735607
vongquay-trian-pubgmobilevn.com,AVAILABILITY,origin.list,2023-03-06 06:45:05.759686
vcbigdank.com,AVAILABILITY,origin.list,2023-03-06 06:45:07.249283
vcbbankdigi.com,AVAILABILITY,origin.list,2023-03-06 06:45:07.350513
456vdghgj30.dyndns.org,AVAILABILITY,origin.list,2023-03-06 06:45:07.447694
shopee.lienkettaikhoannhanquatang.online,AVAILABILITY,origin.list,2023-03-06 06:45:07.507921
vongquaygarena2021.com,AVAILABILITY,origin.list,2023-03-06 06:45:08.922498
vcbdigeibonk.com,AVAILABILITY,origin.list,2023-03-06 06:45:09.052018
123hmdhjg2.dyndns.org,AVAILABILITY,origin.list,2023-03-06 06:45:09.815208
giaodichvidientu.com.vn,AVAILABILITY,origin.list,2023-03-06 06:45:09.919305
6788vn.com,AVAILABILITY,origin.list,2023-03-06 06:45:10.475786
tuyendungctvlazada.com,AVAILABILITY,origin.list,2023-03-06 06:45:10.546026
tammenaa.com,AVAILABILITY,origin.list,2023-03-06 06:45:11.382991
smilitygorb.club,AVAILABILITY,origin.list,2023-03-06 06:45:12.173797
ibmgroup.co.uk,AVAILABILITY,origin.list,2023-03-06 06:45:12.310904
vongquaygarena21.com,AVAILABILITY,origin.list,2023-03-06 06:45:12.761656
www.vcbigdank.com,AVAILABILITY,origin.list,2023-03-06 06:45:13.869830
vongquaylienmoba2021.com,AVAILABILITY,origin.list,2023-03-06 06:45:14.513936
campxanh.info,AVAILABILITY,origin.list,2023-03-06 06:45:14.682727
dienmayxanhbeauty.com,AVAILABILITY,origin.list,2023-03-06 06:45:15.462663
viet69xlxx004.ga,AVAILABILITY,origin.list,2023-03-06 06:45:15.555175
vongquaytrungthu.com,AVAILABILITY,origin.list,2023-03-06 06:45:16.132097
vongquaycongnghe.ga,AVAILABILITY,origin.list,2023-03-06 06:45:16.515836
vongquaythuongfreefire.com,AVAILABILITY,origin.list,2023-03-06 06:45:17.024246
eventlqvn.com,AVAILABILITY,origin.list,2023-03-06 06:45:17.084320
shopee.maquatang.vn,AVAILABILITY,origin.list,2023-03-06 06:45:17.216113
www.vcbdigeibonk.com,AVAILABILITY,origin.list,2023-03-06 06:45:17.967312
thseaeing.fun,AVAILABILITY,origin.list,2023-03-06 06:45:18.160652
vcbdigliebrnk.com,AVAILABILITY,origin.list,2023-03-06 06:45:18.807532
cnaptheaz.com,AVAILABILITY,origin.list,2023-03-06 06:45:19.669377
shopgem.net,AVAILABILITY,origin.list,2023-03-06 06:45:19.917596
taikhoanveri04.atwebpages.com,AVAILABILITY,origin.list,2023-03-06 06:45:19.999081
txclmomo.club,AVAILABILITY,origin.list,2023-03-06 06:45:20.121338
vaylientay79.com,AVAILABILITY,origin.list,2023-03-06 06:45:21.289725
ficonexchange.com,AVAILABILITY,origin.list,2023-03-06 06:45:22.192793
ff-members-garena.vn,AVAILABILITY,origin.list,2023-03-06 06:45:22.281134
