idna_subject,checker_type,destination,tested_at
vay-vietcombank.com.vn,AVAILABILITY,origin.list,2023-03-06 06:34:33.516982
vaytinchap-shinhanbank247.online,AVAILABILITY,origin.list,2023-03-06 06:34:43.737126
trungthuong.vn,AVAILABILITY,origin.list,2023-03-06 06:34:50.795572
truongtonducthang.edu.vn,AVAILABILITY,origin.list,2023-03-06 06:34:52.128209
vavietcombank.cc,AVAILABILITY,origin.list,2023-03-06 06:35:18.861045
vaytheoluongtechcombank.online,AVAILABILITY,origin.list,2023-03-06 06:35:31.895445
vaytinchapnhanh-bidv.com,AVAILABILITY,origin.list,2023-03-06 06:35:34.198737
vaytindung-techcombank.online,AVAILABILITY,origin.list,2023-03-06 06:35:42.724532
vaynhanhshinhanbank.vn,AVAILABILITY,origin.list,2023-03-06 06:35:43.873136
vaytinchap-tpbank-hanoi.xyz,AVAILABILITY,origin.list,2023-03-06 06:36:07.757464
vayvon-techcombank.biz,AVAILABILITY,origin.list,2023-03-06 06:36:07.814905
vaytinchap-shinhan.com,AVAILABILITY,origin.list,2023-03-06 06:36:07.836866
vaytinchap-tpbank.xyz,AVAILABILITY,origin.list,2023-03-06 06:36:08.065256
vaytienshinhanbank.xyz,AVAILABILITY,origin.list,2023-03-06 06:36:08.100992
vayvon-bidv-vn.com,AVAILABILITY,origin.list,2023-03-06 06:36:09.172691
vayvonnganhang-techcombank24h.online,AVAILABILITY,origin.list,2023-03-06 06:36:09.272801
vaytinchaptieudungshinhanbank.com,AVAILABILITY,origin.list,2023-03-06 06:36:09.646857
vaytienvpbank.com,AVAILABILITY,origin.list,2023-03-06 06:36:09.706933
vaynhanhpro.vn,AVAILABILITY,origin.list,2023-03-06 06:36:09.923746
vayvon-shinhanbank-24h.com,AVAILABILITY,origin.list,2023-03-06 06:36:10.492380
vaynganhanglaisuatthap.com,AVAILABILITY,origin.list,2023-03-06 06:36:10.861641
vaytieudungtinchaptpbank.com,AVAILABILITY,origin.list,2023-03-06 06:36:11.499297
vaythechaptpbank.info,AVAILABILITY,origin.list,2023-03-06 06:36:12.777244
vieclamonha.online,AVAILABILITY,origin.list,2023-03-06 06:36:12.777107
vaytinchapshinhan247.com,AVAILABILITY,origin.list,2023-03-06 06:36:13.288118
vaytindungshinhan.net,AVAILABILITY,origin.list,2023-03-06 06:36:13.786606
vidientu24h.com,AVAILABILITY,origin.list,2023-03-06 06:36:14.820268
vaytintam24h.vn,AVAILABILITY,origin.list,2023-03-06 06:36:14.957562
vayvn247.com,AVAILABILITY,origin.list,2023-03-06 06:36:15.323514
vayvonshinhanhanoi.com,AVAILABILITY,origin.list,2023-03-06 06:36:16.285569
vietcombank-hotrovaykhachhang.online,AVAILABILITY,origin.list,2023-03-06 06:36:17.121892
vietcombank-vaytinchap.com,AVAILABILITY,origin.list,2023-03-06 06:36:17.168977
vayvonshinhantoanquoc.online,AVAILABILITY,origin.list,2023-03-06 06:36:17.832042
vieclam66.com,AVAILABILITY,origin.list,2023-03-06 06:36:19.559425
vietinbank-ipay.com,AVAILABILITY,origin.list,2023-03-06 06:36:19.938336
vayvontieudungshinhanbank.com,AVAILABILITY,origin.list,2023-03-06 06:36:20.073896
vietinbank-online.com,AVAILABILITY,origin.list,2023-03-06 06:36:20.125084
vietcombak.com,AVAILABILITY,origin.list,2023-03-06 06:36:20.283828
vietnamkdam.com,AVAILABILITY,origin.list,2023-03-06 06:36:21.939335
vidientusp.vn,AVAILABILITY,origin.list,2023-03-06 06:36:22.756522
vaynganhang.top,AVAILABILITY,origin.list,2023-03-06 06:36:22.758139
vayshinhan.top,AVAILABILITY,origin.list,2023-03-06 06:36:22.849197
vayvietcombank.com.vn,AVAILABILITY,origin.list,2023-03-06 06:36:22.858809
vietflix.vn,AVAILABILITY,origin.list,2023-03-06 06:36:23.763422
vietcomdank.com,AVAILABILITY,origin.list,2023-03-06 06:36:24.937022
vietcombank-vietnam.com.vn,AVAILABILITY,origin.list,2023-03-06 06:36:25.006111
vietcomcard.com,AVAILABILITY,origin.list,2023-03-06 06:36:25.249399
vn-sacombank.com,AVAILABILITY,origin.list,2023-03-06 06:36:25.580626
vietcombank.money,AVAILABILITY,origin.list,2023-03-06 06:36:25.683245
vn-ebank.xyz,AVAILABILITY,origin.list,2023-03-06 06:36:26.458032
viettinvay.com,AVAILABILITY,origin.list,2023-03-06 06:36:26.507458
vn-ebanking.info,AVAILABILITY,origin.list,2023-03-06 06:36:27.106377
vletcombank.com,AVAILABILITY,origin.list,2023-03-06 06:36:27.515238
vn-ibank.info,AVAILABILITY,origin.list,2023-03-06 06:36:27.844139
